id,AFIR_sim,SCIM_sim,TLss_sim,TLss_frac_change,TL0_05tau_frac_change,AFIR_thy,AFIR_simple_thy,SCIM_thy,SCIM_simpler_thy,SCIM_simplest_thy,CL,dose,T0,L0,keT,keL,keDT,keTL,Kd_DT,Kd_TL,kon_DT,kon_TL
251,1,1,0.00208,-4.8e-15,0,0.957,22.4,11.7,554,21200,2.4,0.316,93.6,0.000178,11.5,8.07,915,654,0.29,0.0109,5210,81.7
252,0.0048,0.0048,6.81e-05,-5.85e-12,0,0.646,1.82,1.13,1.78,1.82,2.4,586,0.324,17.3,115,135,37.2,9.53,0.174,394,329,12.8
253,0.775,1,4.57,-1.12e-10,-5.82e-16,0.994,173,348,348,1590000,2.4,980,12.2,0.00644,67.4,1.63,0.577,21.1,1.07,0.0141,89.1,6830
254,0.987,0.988,0.00151,1.49e-14,1.42e-16,1,15900,131,3930,16000,2.4,0.258,0.059,0.0177,11.7,12.9,0.0867,1.37,0.00301,0.679,3.91,227
255,0.302,0.303,4.96e-06,7.6e-08,0,0.995,204,1.94,129,205,2.4,434,0.0029,0.0418,155,1.08,79.2,16.6,37.1,7.41,200,1760
256,1,1,0.763,1.99e-12,-2.04e-15,1,92400,387,1280,92400,2.4,2.34,1.8,36.8,1420,57.8,2.57,1.94,0.297,86.5,93.5,2140
257,1,1,12.5,-1.68e-12,2.84e-16,1,9770,4.07,22.2,43600,2.4,22.3,249,0.0146,78.7,914,70.6,3.7,160,0.181,37.8,33.5
258,1,1,0.000681,3.66e-14,-7.96e-16,0.998,581,0.0923,638,643,2.4,0.36,744,0.000144,1.82,73.6,21.8,1.65,2.05,157,766,2.59
259,0.817,0.831,0.0895,5.08e-08,1.29e-16,0.999,1890,0.282,0.623,2090,2.4,115,0.144,0.358,101,74.1,260,26.8,387,0.0629,127,64.3
260,0.997,0.997,2.15e-05,4.11e-10,4.71e-16,0.985,63.7,0.0847,63.3,63.9,2.4,0.429,1.9,0.00101,7.09,25.2,83.7,2.3,0.00412,88.3,317,692
261,0.998,0.998,0.0021,-5.34e-11,0,1,91400,58.4,7910,123000,2.4,5.49,0.408,1.52,387,1.05,8.9,263,9.53,166,468,2.06
262,1,1,0.00147,1.62e-15,-7.38e-16,1,13500000,1220,15200,13600000,2.4,1.37,0.0169,48.9,712,2.61,0.55,194,11.6,562,431,6350
263,1,1,0.00116,-1.13e-13,-4.54e-14,1,833000,1080,1830000,1850000,2.4,34.1,289,0.000274,1410,69.7,2.91,20.1,48.4,67.9,8.57,136
264,1,1,13.4,0,1.33e-16,1,65600,4.12,4.13,3.03e+09,2.4,1.34,593,0.0244,27.3,1.26,319,107,782,0.0725,455,105
265,0.44,0.435,2.44e-07,-0.00986,-1.89e-16,0.997,345,0.0733,57.8,345,2.4,0.18,0.000529,0.052,12.3,49.1,176,535,0.103,0.0243,293,10.9
266,0.0234,0.0268,0.00013,5.2e-10,0,0.889,7.99,0.974,7.3,9.2,2.4,12.4,0.177,0.00732,5.32,215,6.85,49,0.0105,0.024,92.5,203
267,1,1,6.77,4.54e-14,3.9e-14,1,894000,2210,2450,1010000,2.4,1.84,0.828,920,1010,4.33,0.0815,77,0.0253,113,1.91,1910
268,1,1,0.00262,4.62e-12,-4.96e-16,1,32200,0.223,130,217000,2.4,0.15,10.3,0.00123,4.63,115,142,310,121,3.12,523,181
269,0.865,0.889,0.0344,5.17e-09,-1.44e-15,0.999,855,1.14,1.97,1060,2.4,22.8,0.0349,7.52,299,10.4,387,494,0.0196,6.73,52.5,8030
270,0.99,0.992,102,-3.13e-09,0,0.999,1430,0.00532,0.00539,1710,2.4,35.2,1.42,85.6,3.03,31.3,947,5.06,0.00519,0.833,8.83,14.5
271,1,1,74.3,-7.8e-14,3.83e-16,1,4.74e+08,13.9,14.6,4.94e+08,2.4,0.547,3.68,55.2,22.5,102,0.305,3.33,731,2.73,1.07,1370
272,1,1,0.187,1.19e-15,3.86e-15,1,5380000,71500,169000,5.57e+09,2.4,8.72,264,0.009,10.9,1.77,0.0917,88.1,325,12.5,51.3,381
273,0.99,0.992,0.0219,-2.79e-08,1.57e-16,1,23100,0.775,5.32,28800,2.4,5.87,0.161,0.000708,287,243,395,1.92,0.102,0.00442,2.55,2520
274,1,1,5e-05,-2.71e-16,1.36e-16,1,192000,85.4,149000,210000,2.4,0.498,0.328,0.00352,362,15,4.63,98.9,0.0814,0.399,4.96,4.36
275,0.774,0.774,1.96e-07,1.02e-11,-2.09e-16,0.999,1500,28.8,1470,1500,2.4,181,0.000575,0.00089,38.7,1.39,1.32,5.72,7.66,1.78,132,24.2
276,0.9,0.958,3.28e-05,7.72e-09,-1.98e-16,1,4350,205,3530,10100,2.4,137,0.00199,0.0342,121,1.07,1.56,1420,5.31,0.00454,1880,716
277,0.989,0.989,1.42e-07,-4.98e-10,1.84e-16,1,41900,2.59,9560,41900,2.4,62.9,0.000686,0.00131,9.83,1.41,3.79,1.51,843,5.9,8.7,4.46
278,1,1,0.25,2.4e-12,0,1,192000,0.162,61.6,316000,2.4,0.592,156,0.0264,2.72,332,27.9,22.6,957,1.72,1250,1.53
279,1,1,0.0419,3.58e-13,0,1,5270000,11300,11800,5280000,2.4,29.9,0.00168,30.1,14.2,1340,0.11,1300,0.444,0.792,68.9,3110
280,0.00123,0.00124,6.63e-08,-1.72e-07,2.52e-16,0.368,0.583,0.354,0.583,0.583,2.4,478,0.237,0.045,2.13,13.5,2.36,9.55,0.00322,198,9.34,18.2
281,1,1,4.49,-1.8e-13,0,1,2560000,196,213,2630000,2.4,0.968,0.387,63.5,1.61,706,1.29,274,0.00807,0.884,1.56,59.7
282,1,1,0.0129,1.34e-16,0,1,26500000,23.1,117,26600000,2.4,0.161,0.0528,4.04,133,856,11.5,800,115,0.982,1.29,51.5
283,1,1,45.3,9.41e-16,-6.22e-14,0.999,1610,2310,2620,63800,2.4,148,252,12.6,619,25.7,1.36,275,0.403,69.9,9300,5340
284,1,1,1600,1.14e-15,-1.42e-16,1,2.33e+09,20.4,20.5,2.76e+10,2.4,0.317,38.5,31.4,157,1200,12.7,257,716,0.715,3.42,6490
285,0.000531,0.000531,3.79e-07,0.000677,1.52e-16,0.201,0.251,0.245,0.25,0.251,2.4,111,0.00216,15.8,4.25,50.6,0.626,13.7,0.0012,47.7,1380,2540
286,1,1,0.000314,6.74e-14,0,1,25900000,47.3,521000,27800000,2.4,0.513,3.8,0.000668,15.1,80.3,0.344,13.1,251,0.0465,464,1.63
287,1,1,0.0404,4.51e-13,-2.92e-14,0.948,18.3,4.53,28,28.1,2.4,18.1,83.8,0.0161,1100,8.26,312,1.76,0.0424,33.4,8750,30.9
288,1,1,0.000121,-3.35e-16,-1.91e-10,1,4780,0.364,6520,6550,2.4,0.744,609,0.000153,7.6,5.74,28.6,2.68,1.04,766,2.84,7060
289,1,1,22.8,-7.46e-15,8.76e-13,1,74000,42.2,49.1,5630000,2.4,2.01,286,30.8,462,2.12,122,215,0.00254,386,3.88,4600
290,1,1,0.0882,-1.55e-11,-4.88e-15,1,66000,34.6,140,66000,2.4,0.146,0.268,157,329,33.1,7.41,36.6,0.0174,478,47.6,3100
291,1,1,0.573,-1.66e-11,8.91e-15,0.675,2.07,0.199,2.06,2.18,2.4,6.01,103,2.77,8.52,104,41.4,26,0.00359,500,904,173
292,0.2,0.2,7.7e-10,-2.33e-07,2.15e-16,0.986,72,0.0319,71.9,71.9,2.4,4.26,0.015,0.000231,41.6,2.9,1300,1.06,0.00355,895,163,2.05
293,0.894,0.929,0.661,-1.41e-14,1.56e-16,1,3630,0.802,1.39,6290,2.4,4.98,0.908,0.0865,1.93,14.5,2.69,1.29,13.7,0.00277,1310,12
294,0.0868,0.154,0.0101,-1.62e-06,0,0.967,29.2,49.3,50.5,55.7,2.4,226,0.0333,4.53,87,6.68,0.844,419,0.00476,0.101,2550,190
295,0.0112,0.461,0.000438,1.35e-07,0,0.857,6,0.768,6.51,449,2.4,154,0.54,0.000977,2.08,6.46,253,490,54.8,0.0165,22.4,910
296,0.998,0.998,0.0161,-6.27e-09,0,0.994,164,0.522,138,173,2.4,3.16,21.8,0.0906,5.4,481,11,144,0.00366,9.47,12.8,1.27
297,1,1,378,-3.01e-16,-6.02e-16,1,150000,2840,2850,40500000,2.4,45.3,419,287,140,1.11,0.133,226,2.2,253,1700,3.43
298,1,1,0.59,1.88e-16,0,1,8380000,0.245,0.245,8400000,2.4,2.68,0.000128,248,21.7,61,202,49.5,9.38,0.0127,28,1200
299,0.973,0.975,3.45e-05,-9.34e-10,1.92e-16,1,16900,45.2,647,18200,2.4,96,0.000526,0.0133,174,12.4,4.38,356,29.9,0.0196,3010,1990
300,1,1,0.00257,-6.23e-13,-4.89e-15,1,1.64e+08,223,637000,1.86e+08,2.4,0.333,8.35,0.0451,11.3,1.58,0.0576,3.69,231,146,807,26.2
301,1.01,1.01,0.138,-3.28e-09,-2.03e-16,1,63200,562,577,63200,2.4,6.33,0.00379,862,1030,11.2,0.0532,2.35,0.0158,23.9,2790,50.7
302,1,1,12.3,-2.02e-15,0,1,62400,0.406,0.668,114000,2.4,1.87,14.5,41.2,130,37.2,385,103,131,23.3,9.61,4.06
303,1,1,99.9,-4.12e-15,-3.98e-15,0.999,695,71.6,71.6,718000,2.4,1.71,53.4,0.0772,13.3,5.7,0.163,4.55,0.00707,0.0399,532,3270
304,0.987,0.993,0.0252,-6.57e-10,6.84e-16,0.821,4.58,5.76,8.39,8.46,2.4,4.74,2.71,2.46,16.9,2.05,1.86,168,0.00134,239,3940,6.96
305,0.789,0.999,0.333,1.39e-09,0,0.999,824,12.6,14,125000,2.4,15.1,5.32,0.607,2.35,1.23,26.9,338,0.0375,0.0013,2.29,34.9
306,0.999,1,0.00139,2.15e-11,0,0.999,718,0.71,9.74,10200,2.4,0.311,0.251,0.00759,66,11.8,1310,857,2.8,0.46,2070,937
307,0.00231,0.169,2.66e-10,0.966,0,0.522,1.09,0.00143,1.09,1.09,2.4,48,0.000655,0.00118,1.96,524,1370,1280,24.3,470,226,63.5
308,0.887,0.907,0.00315,-1.9e-08,0,1,3730,205,365,4610,2.4,20.4,0.00365,0.568,17.5,7.68,0.795,297,0.161,0.0888,110,584
309,0.932,0.932,2.16e-07,5.7e-14,0,1,4920,2210,4920,4920,2.4,52.1,0.000489,0.0672,899,105,0.225,205,0.0163,0.0028,6.1,1.45
310,0.526,0.526,0.0251,-5.89e-09,0,0.998,500,0.0432,0.104,500,2.4,109,0.0665,113,9.62,199,655,54.4,608,157,135,6010
311,8.51e-05,0.017,4.76e-05,-1.18e-10,0,0.0368,0.0382,2.84,6.89,7.74,2.4,809,7.39,0.00616,1.52,2.25,79.9,1000,0.0195,0.00528,75.5,61.6
312,0.682,0.681,6.6e-05,6.37e-10,1.4e-16,0.999,900,94.9,770,903,2.4,45.3,0.0047,0.00133,808,178,7.5,10.1,0.303,0.00521,687,172
313,0.661,0.81,0.00175,-3.32e-07,2.61e-15,0.499,0.997,1.69,2.07,2.07,2.4,16.5,0.681,0.0799,15.7,2.42,3.62,96.6,0.00217,25.1,3950,950
314,0.184,0.184,2.4e-09,8.57e-07,1.27e-16,0.99,102,0.678,101,102,2.4,9.3,0.000228,0.00301,665,146,975,27.1,0.125,52.6,951,5420
315,1,1,40.1,1.55e-13,0,1,130000,1.47,1.47,179000,2.4,0.199,0.18,27.7,1.26,83.5,14.7,21.6,0.0278,0.104,390,1030
316,0.998,0.998,0.00206,-1.64e-14,0,1,224000,0.433,0.562,224000,2.4,2.85,0.000619,3.4,1.12,8.32,18.9,10.3,276,0.43,3.01,17.5
317,1,1,64.2,1.18e-13,0,1,39700000,735,744,40400000,2.4,296,0.769,746,2.95,1390,0.381,283,157,3.43,185,51.5
318,0.985,0.985,1.4e-05,-1.43e-13,1.2e-16,1,23500,0.845,503,23600,2.4,0.788,0.00864,0.0213,286,9.55,339,57.1,17.9,0.00171,1110,4.41
319,0.986,1,615,-8.47e-12,-1.11e-15,1,334000,483,484,1.19e+08,2.4,250,216,271,1.51,4.52,1.46,706,50.3,94.4,257,892
320,0.338,0.338,0.0603,9.44e-09,0,0.996,238,0.767,0.818,238,2.4,169,0.0118,73.6,63.3,134,9.98,4.01,0.0155,4.49,3.72,10.7
321,1,1,20.6,-3.04e-12,0,1,7410,1.48,3.41,17800,2.4,2.73,64.8,1.71,1200,485,1120,56.6,12.1,0.00384,333,10.5
322,0.0466,0.0466,9.61e-05,1.53e-07,0,0.958,22.8,1.56,9.41,22.8,2.4,80.9,0.0176,0.486,6.79,963,11.1,120,0.814,3.61,6010,222
323,0.000509,0.000507,4.82e-09,-8.38e-09,-1.78e-16,0.191,0.236,0.0707,0.236,0.236,2.4,88.7,0.223,0.000329,2.54,349,25.2,18.3,0.168,2.42,5640,3.45
324,1,1,0.0119,3.76e-14,-3.94e-13,1,9120,43.9,9610,10700,2.4,0.711,30.2,0.00198,124,90.4,3.29,2.58,0.135,5.01,400,9880
325,1,1,546,4.16e-16,0,1,6690,1740,1800,28400,2.4,10.5,86.4,492,289,147,0.248,430,0.00465,43.8,1810,12.6
326,0.749,0.749,0.000835,-1.19e-07,0,0.999,1410,78.7,101,1410,2.4,188,0.000336,78.4,762,115,7.8,617,0.00673,22.7,12.9,663
327,0.999,0.999,942,1.61e-11,1.09e-15,0.957,22.1,0.127,0.157,22.6,2.4,681,232,57.8,166,1430,271,2.03,0.0132,14.2,14,35.4
328,0.00755,0.00753,4.81e-08,0.00852,2.65e-16,0.782,3.59,0.108,2.97,3.59,2.4,19.3,0.000984,5.06,16.1,267,143,5.57,0.0304,779,299,93.3
329,0.985,0.998,0.00461,1.01e-09,0,0.606,1.54,3.53,9.69,9.77,2.4,178,6.53,0.000566,248,82,283,53.7,0.0617,0.00668,1430,67.6
330,0.989,0.989,0.148,2.03e-13,1.85e-16,1,41200,0.083,0.0833,41200,2.4,17.3,0.000538,19.9,264,461,108,8.08,0.028,0.0662,4.27,1620
331,0.00904,0.00905,1.72e-05,1e-09,1.14e-16,0.811,4.3,0.164,1.96,4.31,2.4,112,0.0382,1.45,2.44,17.2,16.6,10.8,1.68,29.2,30,1120
332,0.998,0.998,0.0683,1.79e-13,0,1,255000,12.8,16,271000,2.4,96.8,0.0183,49.9,8.31,1.53,4.46,69.2,341,0.00108,3.1,5.19
333,0.983,0.983,1.3e-05,5.87e-09,-3.85e-16,0.996,222,0.114,216,222,2.4,0.13,0.948,0.00403,1.23,1120,10.8,6.82,0.204,290,2320,2250
334,1,1,0.186,-1.49e-16,-1.49e-16,1,50900,9340,15400,2.15e+08,2.4,6.95,512,0.00107,629,18.4,112,447,0.0149,1.14,2.14,248
335,0.841,0.838,5.49e-05,2.7e-08,0,1,2480,1.07,52.6,2490,2.4,55.2,0.00322,0.0083,1.24,185,1.26,6.55,104,0.00143,3510,16.1
336,0.993,0.993,1.93,-1.35e-13,0,1,41800,183,203,42200,2.4,23.1,0.215,61,11.2,382,0.563,114,0.00279,1.61,1.31,22.2
337,1,1,0.0496,5.23e-11,2.8e-16,1,1270000,2600,7130,6640000,2.4,517,0.451,0.0257,144,160,0.232,348,697,0.0825,3140,2310
338,0.996,0.998,0.0147,2.58e-09,2.35e-16,1,127000,189,667,202000,2.4,687,0.0597,0.147,352,22.5,2.32,133,435,0.466,2.07,1050
339,1,1,17.8,-1.14e-13,0,1,3820000,0.0101,0.0101,8730000,2.4,0.557,0.000846,75.5,36.5,2.21,1200,12.1,0.0261,0.00118,144,5020
340,0.992,0.999,1.49e-07,0.00806,0,1,42100,6.83,6040,42100,2.4,1.99,0.000154,0.246,3.17,471,0.476,83.5,10,245,2.96,8.83
341,0.823,0.964,5.69e-06,-3.7e-10,1.44e-16,0.999,1090,4.46,5680,5720,2.4,348,5.71,0.000466,39.4,1.52,46.4,509,370,1.35,49.7,1.13
342,0.977,0.997,0.0523,-1.14e-09,1.32e-16,0.998,586,1890,3240,4380,2.4,11.1,1.07,2.62,49.3,3.77,0.179,1230,0.00883,0.00153,5940,22.8
343,0.759,0.766,3.79e-07,-0.0163,2.14e-16,0.999,1440,14.2,1610,1610,2.4,2.5,0.0404,0.000173,3.68,2.98,0.288,120,0.0012,0.0529,1.24,8.48
344,1,1,2.75e-06,3.02e-13,4.61e-16,0.999,1830,38.2,1840,1840,2.4,0.516,2.19,0.00105,337,4.4,8.66,4.26,0.00715,832,667,7.98
345,0.961,0.961,0.0116,-2.77e-08,0,1,11100,12.4,29.8,11200,2.4,165,0.0172,4.11,34,6.38,2.35,22,71.6,4.79,13.7,21.2
346,0.764,0.764,0.318,6.84e-08,-1.33e-16,0.999,1070,2.54,8.42,1070,2.4,247,0.971,81.2,76.2,376,21.5,4.46,60.1,189,231,9.72
347,1,1,1730000,0,-5.4e-16,1,36800000,0.126,0.126,8.94e+11,2.4,2.3,553,953,369,4.7,502,63,179,0.269,7940,1750
348,1,1,2.04e-08,1.62e-16,0,1,3720000,3.12,46600,3720000,2.4,0.716,0.000309,0.00229,6,6.77,1.93,502,708,26.4,54.5,60.9
349,0.987,0.988,0.172,1.95e-07,0,1,20600,1.03,2.22,22200,2.4,4.49,0.215,124,9.2,2.55,67.5,138,30.4,56.1,5.46,1.43
350,1,1,5.63e-06,4.28e-09,-1.51e-16,1,634000,5070,158000,634000,2.4,73.4,0.000226,0.0198,210,538,0.0438,798,7.38,0.00724,505,1010
351,1,1,0.002,1.22e-06,0,1,7600,0.862,2760,34800,2.4,0.817,31.9,0.00321,5.6,20.6,29.7,118,0.295,0.00504,1.1,2.31
352,1,1,4560,-2.39e-15,3.59e-15,1,9.4e+07,137,137,2e+10,2.4,4.64,539,12.1,113,2.26,0.107,1.27,312,1.37,4090,21.3
353,0.996,0.999,0.708,1.78e-10,-1.38e-14,0.997,368,0.148,1.5,1970,2.4,1.77,34.8,0.751,1.17,3.8,50,17.5,17,36.5,71.8,41
354,1,1,3.41,-1.3e-16,-1.3e-16,1,1440000,1470,1480,2.66e+10,2.4,1.82,527,0.035,120,4.6,13.2,875,218,0.0137,1.62,162
355,1,1,57.4,5.82e-15,-4.45e-15,1,5.24e+09,296,301,7.5e+10,2.4,0.289,13.7,51.8,98.6,44.9,1.87,539,993,12.2,289,4870
356,0.0587,0.0587,1.02e-06,-2.1e-07,0,0.966,28.8,16.7,28.3,28.9,2.4,3.01,0.000585,0.0932,20.3,18,0.6,146,0.00141,0.00749,1770,46.8
357,0.99,0.992,2.16e-07,-1.56e-09,0,1,46900,3.5,26000,54100,2.4,0.261,0.00358,1e-04,28.9,1.85,9.5,131,3.32,0.00873,581,80.3
358,1,1,7.62,-2.97e-12,4.67e-16,1,5720,184,189,130000,2.4,43.3,5.07,18.3,1000,6.66,5.36,350,0.702,10.5,261,203
359,0.443,0.452,5.91e-07,0.0047,-1.62e-16,0.997,365,0.268,258,379,2.4,0.635,0.00409,0.000362,3.42,4.1,13.3,43.3,0.0676,1.12,19.6,6720
360,1,1,4.7e-05,-1.65e-13,-1.44e-16,1,3300000,5710,2660000,37100000,2.4,0.252,0.264,0.000257,830,1.79,1.63,100,1.36,0.0145,9610,70.2
361,0.999,0.999,0.00784,-5.27e-12,2.21e-16,0.997,391,508,682,682,2.4,153,16.5,0.00844,597,2.5,0.521,2,0.0419,16.2,386,1.22
362,1,1,1e-04,-2.04e-11,1.35e-16,1,395000,292,3820,395000,2.4,6.71,0.00122,2.24,19.8,1220,0.0643,7.05,6.95,27.2,33.7,55.3
363,1,1,8.29,2.57e-12,0,1,6790000,0.692,0.696,10400000,2.4,0.297,0.0687,569,1.94,11.1,579,403,0.0628,0.0129,29.2,85.7
364,1.06,1.05,0.000282,-2.12e-09,-2.02e-16,1,20000,4020,20800,21200,2.4,14.2,0.0652,0.0238,222,172,0.048,915,0.0496,0.00517,148,158
365,0.999,1,0.0394,2.52e-13,0,0.999,1060,271,386,817000,2.4,44.6,13,0.000834,270,31.6,231,516,25.2,0.00876,28.6,1940
366,4e-04,0.000708,4.81e-06,-2e-06,0,0.147,0.173,0.0944,0.232,0.306,2.4,168,0.073,0.0715,22.6,53.4,703,434,0.00245,0.0016,2640,567
367,1,1,352,1.62e-16,0,1,1650000,50.2,50.2,3.87e+09,2.4,2.42,469,0.0526,26.3,8,0.752,2.81,87.8,0.00128,409,40.8
368,0.999,1,0.0218,-3.26e-12,1.59e-16,0.999,1060,18.4,8920,18300,2.4,32.2,354,0.000482,7.44,152,6.96,54.7,26.6,0.418,152,7.38
369,0.982,0.982,0.0177,-7.37e-10,0,1,22100,1.45,1.69,22100,2.4,1.21,0.00294,86.7,35,22.9,58.1,92.5,1.94,0.00268,287,6.54
370,0.996,0.996,0.000223,4.26e-11,0,1,75900,9.83,351,75900,2.4,13.4,0.00781,0.702,3.58,100,0.385,11,83.2,24.5,17.8,3030
371,1,1,176,-3.62e-14,1.62e-16,1,180000,0.0369,0.0371,14400000,2.4,0.377,60.4,0.354,1,181,787,28.8,15,0.00893,1.55,256
372,0.943,0.956,1.56,-1.07e-08,-1.36e-16,0.998,416,7.85,413,552,2.4,179,445,0.0331,1.16,638,0.196,4.24,10.2,7.14,17.5,2.24
373,0.989,0.989,4.49e-07,-2.1e-09,1.17e-16,1,41200,2.86,1150,42500,2.4,0.135,0.000194,0.000284,57.2,12.7,20.8,262,1.65,0.091,6470,8640
374,0.00518,0.00517,3.52e-07,-3.69e-05,0,0.711,2.46,0.015,0.061,2.46,2.4,472,0.000215,0.00271,5.5,28.9,295,1.13,4.39,0.00833,6.67,5530
375,0.018,0.018,2.58e-09,2.86e-08,0,0.88,7.31,0.0383,7.31,7.31,2.4,14,0.226,0.000151,3.12,365,80.8,2.16,1.51,236,116,1.12
376,1,1,10.7,2.33e-12,-3.32e-16,0.995,181,6.1,71.2,235,2.4,47.2,212,11.2,278,1230,57.9,383,0.0967,29.7,45.2,1.99
377,0.834,0.834,2.95e-06,4.91e-08,-1.2e-16,0.998,573,0.25,566,573,2.4,16.3,0.641,0.000962,25.1,27.1,100,9.68,31,174,4190,750
378,1,1,0.0451,-7.14e-10,0,1,157000,136,137,157000,2.4,1.02,0.000485,447,284,7.93,0.0632,5.62,0.00991,0.0151,109,1.17
379,0.881,0.881,5.48e-06,2.13e-08,-1.36e-16,1,3330,0.132,56.7,3330,2.4,0.176,0.00271,0.634,7.9,5.87,59.7,2.46,3.64,275,1650,2.91
380,0.0405,0.0407,4.83e-07,1.35e-07,-1.43e-16,0.951,19.5,0.636,18.8,19.6,2.4,655,0.00834,0.0215,634,40.3,968,340,0.254,14.4,60.9,478
381,1,1,6520,-1.59e-14,-4.18e-16,1,2500000,0.456,0.458,16100000,2.4,0.125,174,10.2,6.1,186,3.8,1.58,15,0.224,22.8,32.4
382,0.00463,0.00463,0.000129,3.96e-06,0,0.688,2.2,0.187,0.235,2.2,2.4,362,0.00798,14.2,7.51,52.3,14.3,1.61,0.00403,4.06,20,471
383,0.00578,0.00554,0.000237,-3.45e-08,0,0.73,2.71,0.209,0.216,2.71,2.4,86.6,0.0016,29.2,182,39.8,42.1,3.07,0.00577,0.0132,1670,2.86
384,0.00657,0.012,5.35e-07,7.15e-08,0,0.75,3,1.86,5.49,5.51,2.4,110,0.058,0.0014,23.7,26.6,15.8,695,0.00228,0.0866,89.9,402
385,0.999,1,1460,-5.81e-14,7.79e-16,1,475000,1.41,1.41,50600000,2.4,12.7,118,5.38,10.2,4.96,1.95,1.93,285,0.411,1.23,87.6
386,0.995,0.995,3.01e-05,3.53e-11,1.5e-13,1,9890,8.73,10400,10600,2.4,78.3,1.94,0.0105,1.2,4.04,0.148,105,79.1,674,2300,5220
387,0.339,0.634,0.0143,-4.82e-09,-6.15e-16,0.99,96.6,0.0885,3.11,325,2.4,58.8,2.61,0.419,1.9,22.2,381,975,118,46.3,6.82,441
388,0.999,0.999,127,-3.94e-12,0,0.971,33.5,0.00581,0.00585,33.8,2.4,8.17,0.886,237,18.3,426,1090,6.26,0.0023,0.77,4070,7.1
389,0.984,0.984,1.09,6.84e-09,0,1,18500,34.6,39.4,18600,2.4,14.9,0.155,969,97.2,3.21,0.864,20.6,0.806,129,782,3.02
390,1,1,9.02e-05,-3.61e-14,0,1,34200000,71.2,12300,34300000,2.4,1.42,0.0156,0.017,232,53.6,3.25,14.2,565,2.58,94,40
391,1,1,19.1,-3.92e-12,-1.86e-16,1,14700,1.01,1.11,594000,2.4,0.15,77.5,4.36,1.74,5.81,53.3,52.2,0.039,9.89,8.02,6.66
392,0.952,0.954,10.8,2.99e-09,0,0.999,1710,2.43,2.47,1780,2.4,215,0.168,590,2.33,27.4,24.5,60.5,1.83,8.72,3440,743
393,0.999,1,0.000178,1.75e-10,6.1e-16,0.997,304,2.09,591,600,2.4,3.28,7.21,0.000511,32.6,6.21,30.7,17.3,0.00554,17.9,39.7,6.14
394,0.0103,0.0103,6.79e-05,-3.16e-07,0,0.829,4.84,0.0511,0.0567,4.84,2.4,64,0.000723,719,3.32,13.3,825,46.9,0.129,76.4,2280,21.7
395,1,0.999,1.77e-07,-0.000891,-2.99e-16,1,3630000,5.06,5270,3630000,2.4,0.114,0.000184,0.21,90.9,28.3,18,1.46,61.6,218,2.82,192
396,0.999,0.999,11.4,-4.99e-11,0,1,90900,0.44,0.441,90900,2.4,2.87,0.00673,814,38,1010,75.8,33.4,0.0686,0.0331,343,74.8
397,0.993,0.993,1.44e-10,-3.01e-07,3.58e-16,1,65500,86.9,65500,65500,2.4,1.22,0.000266,0.000145,165,3.7,1.89,189,0.761,255,598,14.9
398,1,1,0.0383,-1.5e-11,2.53e-15,1,54400,19900,83700,85000,2.4,51.5,12.3,0.000458,1350,1080,0.0806,7.27,0.139,0.145,2010,3880
399,0.482,0.482,0.0506,1.89e-07,0,0.997,381,7.48,7.53,382,2.4,421,0.000741,80.1,114,1.49,0.367,2.01,0.122,0.564,5280,873
400,0.194,0.269,0.0163,-4.99e-08,-1.14e-16,0.991,106,141,155,162,2.4,703,0.191,1.48,6.76,19.5,0.082,252,0.0335,1.56,3.28,81.1
401,1,1,0.106,1.22e-07,6.52e-16,1,22200,12.2,2700,24900,2.4,1.8,29.4,0.0124,966,179,88,2.5,0.058,3.41,29.6,160
402,1,1,0.0266,4.14e-09,1.3e-16,1,23400,1260,3470,23800,2.4,1.61,0.0552,4.43,4.48,234,0.139,555,0.016,9.06,1720,4420
403,0.979,0.98,1.03e-05,-1.22e-13,4.83e-16,1,21100,0.161,7.67,21600,2.4,0.244,0.000501,0.0343,197,1.12,1240,84.3,25.9,1.11,1960,160
404,0.467,0.468,0.0881,6.58e-08,-2.95e-16,0.997,395,14.3,23.7,400,2.4,760,0.132,0.134,56.4,621,1.79,5.54,6.05,0.0513,2.04,132
405,0.982,0.982,0.00388,-6.42e-09,0,1,23300,58.6,1960,23500,2.4,796,0.141,17.2,46.6,19.2,1.12,722,256,0.653,7120,1.18
406,1,1,4230,4.02e-12,2.15e-16,1,220000,0.00218,0.00218,32500000,2.4,0.128,50.4,9.3,3.08,3.3,506,1.07,56.7,0.0933,7.14,60.7
407,0.996,0.997,0.00509,5.5e-10,3.6e-14,0.992,120,5.26,161,162,2.4,503,73.5,0.00288,173,1030,42.9,201,0.00102,41.4,3.46,5720
408,0.00158,0.00158,7.41e-10,1.45e-10,-1.13e-16,0.424,0.736,0.612,0.736,0.736,2.4,936,0.0238,0.0182,214,141,58.7,8.46,0.146,924,5450,636
409,1.01,1.02,9.76e-08,3.33e-09,0,1,70100,178,63400,70100,2.4,620,0.000356,0.00201,7.69,3.06,0.0431,1.04,202,6.44,1.39,1.03
410,0.817,0.862,0.807,-8.37e-09,0,0.999,1100,0.186,0.195,1560,2.4,12.7,0.0638,0.156,37,136,61.4,9.43,2.4,0.00448,36.9,1530
