id,AFIR_sim,SCIM_sim,TLss_sim,TLss_frac_change,TL0_05tau_frac_change,AFIR_thy,AFIR_simple_thy,SCIM_thy,SCIM_simpler_thy,SCIM_simplest_thy,CL,dose,T0,L0,keT,keL,keDT,keTL,Kd_DT,Kd_TL,kon_DT,kon_TL
129,1,1,0.000262,-2.07e-16,0,1,1500000,48.8,74.4,1500000,2.4,34.9,0.000137,9.97,756,2.3,5.73,30.3,307,0.243,1610,6.07
130,1,1,339000,2.4e-15,0,1,229000,1880,1880,2.31e+08,2.4,576,299,950,434,496,0.746,1400,0.0203,0.00234,24.1,1680
131,0.354,0.354,9.15e-08,-1.64e-08,4.09e-16,0.996,239,4.23,212,239,2.4,37.7,0.000114,0.821,1.48,16.4,0.393,94.6,1.73,362,8900,3220
132,1,1,0.104,-2.11e-13,0,1,6300,452,5900,49400,2.4,1.66,11.1,0.0296,96.6,170,1.6,331,0.136,0.00546,604,104
133,0.917,0.917,0.0654,4.45e-10,0,0.995,200,0.00871,0.0812,200,2.4,1.82,0.595,6.12,6.39,12.2,671,1.15,0.00343,51,21.6,28.1
134,0.998,1,111,9.05e-11,4.83e-14,1,4600,0.899,0.93,45500,2.4,6.9,37.7,0.927,4.52,56.2,6.14,4.18,8.69,0.313,6.75,4310
135,0.996,0.997,1.99,-7.85e-11,4.45e-16,0.989,93.4,75.4,130,132,2.4,233,165,0.221,39.3,46.7,0.311,2.14,0.142,18.1,736,9.4
136,1,1,0.00832,1.38e-07,0,1,26400,4940,28300,49400000,2.4,2.38,73.4,0.00056,17,2.86,5.31,360,11,0.163,1,75.3
137,1,1,0.0851,5.63e-13,1.63e-16,1,1360000,54.1,130,1360000,2.4,0.533,0.12,381,20.1,60.3,9.19,1170,0.00388,536,1.41,7390
138,1,1,199000,0,-4.38e-16,1,12800,0.93,0.931,353000,2.4,13.2,776,660,639,20,4.56,1.75,0.0125,2.04,7.95,3.32
139,0.806,0.806,0.000302,-4.85e-08,0,0.999,1960,14.9,25.2,1960,2.4,350,0.000261,844,44.4,146,45,1120,0.00958,59.9,2.89,2.12
140,1,1,10,7.04e-13,0,1,4190000,5.05,6.18,4740000,2.4,0.272,2.54,2.9,1.24,188,1.2,7.11,38.7,0.724,1630,670
141,0.0712,0.0712,0.00185,-1.89e-07,1.34e-16,0.968,29.8,0.243,1.99,29.8,2.4,40.1,0.2,1,11.4,285,43.1,4.11,1.52,7.68,20.7,220
142,0.989,0.989,2.24e-06,9.47e-16,0,1,30700,0.213,606,30900,2.4,0.455,0.0066,0.0021,252,20.9,1190,91.8,48.6,6.09,193,3420
143,1,1,58.6,-1.33e-15,1.21e-16,1,128000,7.15,7.16,4.65e+08,2.4,7.58,456,3.88,19.3,1.32,65.2,316,877,0.00689,1400,10.5
144,0.995,0.995,2.6e-05,0,-1.3e-16,1,97200,213,9120,97200,2.4,0.461,0.00121,1.2,92.8,5.56,0.426,5.41,0.00922,55.3,2.64,186
145,0.96,0.959,0.00118,-6.66e-10,1.77e-16,1,6940,26.3,41.2,6940,2.4,279,0.000702,0.771,3.75,550,0.328,11.5,22.2,0.0139,6260,26.8
146,0.96,0.96,0.0108,7.51e-10,-1.54e-16,1,5800,1.07,98.1,5800,2.4,41.5,1.04,3.44,93.2,766,86.1,4.87,177,316,12.3,33.2
147,1,1,0.51,1.83e-12,0,0.925,12.3,0.0799,7.39,12.5,2.4,1.63,116,1.35,2.84,116,35.7,3.24,0.0465,305,219,3.85
148,0.964,0.971,0.357,-1.78e-08,0,0.92,11.5,2.19,8.44,14.4,2.4,289,3.2,1.51,395,28.5,169,29.5,0.0133,0.00905,147,2.26
149,0.579,0.995,130,-2.71e-09,0,1,9960,0.0904,0.0904,1330000,2.4,582,0.73,66.7,10.8,1.9,1430,129,0.0328,0.0133,4.79,358
150,5.25e-05,5.23e-05,1e-10,2.7e-06,2.21e-16,0.0242,0.0248,0.0143,0.0248,0.0248,2.4,664,0.00715,0.000342,4.4,23.4,130,1.04,0.0178,1.25,337,33.1
151,0.22,0.22,0.0129,9.69e-06,0,0.993,134,0.194,0.198,134,2.4,173,0.00126,119,4.82,123,23.9,4.63,0.0153,2.38,11.4,24.9
152,0.996,0.996,0.0122,3.31e-12,0,1,111000,345,404,111000,2.4,19.9,0.00213,34.9,1010,322,0.664,93.7,0.456,0.135,2.03,15.8
153,0.0383,0.0382,2.82e-10,-1.91e-12,0,0.941,15.9,8.61,15.9,15.9,2.4,54.4,0.00934,0.000108,295,33.7,15.7,178,0.0361,0.365,8000,1.31
154,1,1,0.0638,-6.06e-11,0,0.998,466,0.181,1.43,474,2.4,0.303,0.451,10.5,52.5,264,720,665,0.223,26.7,2040,14.1
155,0.99,0.999,271,-1.63e-10,-2.1e-16,0.998,407,16.2,16.2,5350,2.4,13.1,4.57,2.16,4.47,34.1,0.207,3.29,0.0045,0.0146,2260,151
156,0.504,0.493,0.166,5.15e-11,0,0.998,467,0.21,0.228,467,2.4,82.5,0.03,14.3,1.84,558,15,3.27,12.4,0.00334,1230,2.57
157,1,1,1730,-5.61e-10,1.32e-16,1,7.01e+08,62.3,62.5,3.55e+09,2.4,3.23,21.3,373,49.3,23.3,0.337,20.4,371,0.0986,1.19,4.53
158,1,1,42000,0,-1.73e-16,0.999,674,0.0917,0.0918,41900,2.4,92.5,691,41.9,1440,646,686,39.4,0.0209,0.0554,74.1,62
159,1.01,1.01,5.77e-07,8.46e-09,-1.86e-16,1,21600,55.3,20300,21600,2.4,715,0.0034,0.00255,4.76,30.3,0.0859,28.2,231,2.24,4.03,2.17
160,0.945,0.95,0.000733,-5.89e-11,-1.4e-16,0.989,90.8,12.9,99.3,99.8,2.4,4.42,1.1,0.308,12.2,2.66,0.908,104,0.00531,431,47,18.5
161,1,1,0.274,1.57e-11,0,1,426000,389,390,427000,2.4,565,0.000788,57.2,1.27,848,0.0452,17.7,1.47,0.141,23.9,725
162,0.937,0.936,3.3e-08,8.49e-09,0,1,7010,4.66,5030,7010,2.4,756,0.000135,0.000165,1240,7.5,266,4.04,855,0.479,3.03,26.5
163,1,1,0.0163,-5.42e-08,0,1,208000,0.27,8.88,210000,2.4,0.301,0.524,0.172,119,474,436,45.2,0.0984,4.9,2.32,69.6
164,1,1,653,3.48e-16,3.48e-16,1,2550,0.0741,0.0745,3350,2.4,0.602,4.77,2.7,2.29,781,13.9,1.02,0.0024,0.0118,114,129
165,0.997,0.971,2.76e-08,-0.0365,-2.32e-16,1,162000,1.38,47800,162000,2.4,0.391,0.0014,0.00928,127,2.75,91.8,2.82,0.165,455,2.42,22.3
166,1,1,9750,-1.17e-10,0,1,7450000,0.138,0.138,28500000,2.4,0.143,20.7,72.3,13.3,629,95.5,13.2,2.97,0.0182,9.02,97.2
167,0.986,0.992,2.15,1.87e-09,-1.23e-15,1,18400,0.0484,0.05,32000,2.4,0.408,0.125,3.78,3.4,1.72,48.1,2.21,0.00165,0.216,6.73,1810
168,1,1,1.33,2.7e-10,2.35e-15,1,518000,463,1000,519000,2.4,0.748,1.55,189,50.6,22.1,0.065,6.19,0.363,220,6,134
169,1,1,63.7,-8.75e-14,0,1,510000,29.3,29.3,2.58e+08,2.4,1.89,33.3,0.0506,1.45,8.73,0.145,3.5,14.3,0.00149,254,140
170,1,1,0.976,4.66e-15,0,1,6650,5590,5940,1210000,2.4,19.6,11.3,0.192,563,16.2,1.19,577,0.057,0.149,7.76,278
171,0.98,0.98,2.44e-06,-2.89e-10,1.7e-16,1,23000,7.49,313,23000,2.4,0.436,0.000103,1.81,152,3.61,19.8,9.85,0.854,74.4,85.4,27.5
172,0.974,0.99,61.7,2.81e-10,0,0.988,82.6,1.38,1.38,219,2.4,29.4,0.332,1.76,55,117,4.14,5.46,0.00609,0.00197,2510,734
173,1,1,0.0448,-2.32e-15,-4.65e-16,1,8510000,2.61,11.1,8560000,2.4,0.105,0.147,4.27,741,12,219,7.36,214,14,59.8,78.7
174,1,1,993,-8.01e-16,1.14e-16,1,227000,481,740,241000,2.4,31.7,568,234,825,570,0.647,8.19,4.59,130,4370,2.1
175,1,1,0.0209,1.66e-16,0,1,1840000,1.29,1.7,1900000,2.4,0.282,0.0069,467,8.16,1.73,807,1370,0.0104,0.317,9.69,8.93
176,1,1,0.000869,-1.68e-12,1.25e-16,1,53100,3130,69200,69300,2.4,1.79,15.8,0.0192,330,96.3,0.132,652,0.0313,105,1460,2.67
177,0.998,1,8200,1.7e-12,0,1,4390,1.24,1.24,4690000,2.4,540,63.8,280,67.5,4.35,128,159,3.85,0.134,15.1,77.6
178,0.612,0.882,11.5,-4.85e-08,-1.37e-16,0.998,435,17.8,18.6,2170,2.4,489,2.88,0.0222,44.1,440,0.682,3,1.99,0.00287,6.93,1460
179,0.198,0.198,0.000724,-5.73e-07,1.19e-16,0.99,102,0.315,1.45,102,2.4,1.13,0.0134,7.96,3.57,17.2,10.3,2.08,0.237,29,9730,10.1
180,0.999,1,0.556,-1.48e-14,0,1,3700000,6.19,6.22,43600000,2.4,26.9,0.0287,4.6,14.1,8.42,121,750,678,0.00953,19.3,3300
181,1,1,0.00557,-1.56e-16,1.52e-13,1,708000,2630,1040000,1130000,2.4,197,47.1,0.00578,68.6,17.4,0.0415,10.7,70.1,48.9,16.1,3480
182,0.645,0.945,5.3,-7.4e-08,-4.75e-16,0.995,217,0.164,0.166,1950,2.4,966,0.363,3.66,1360,2.81,618,14.7,5.35,0.209,9.9,527
183,1,1,0.0749,2.89e-14,-1.85e-16,0.989,93.2,108,2650,14900,2.4,42.2,343,0.000277,118,74.7,169,44,0.00486,0.267,36.3,43.9
184,0.791,0.791,1.27e-05,-7.78e-12,0,0.999,1650,0.114,6.04,1650,2.4,0.112,0.000836,2.84,9.9,26.5,114,171,1.3,142,6380,29.9
185,0.984,0.984,4.23e-09,1.67e-07,0,1,15200,5.5,15100,15200,2.4,1.95,0.0107,0.00017,1.33,453,0.242,476,4.47,38.3,665,1.24
186,0.039,0.0382,8.31e-08,-0.0204,0,0.949,18.7,0.0153,7.36,18.7,2.4,1.56,0.00173,0.663,8,93.8,524,19.8,0.0754,517,348,2
187,0.000193,0.000193,2.27e-10,8.15e-06,0,0.082,0.0894,0.00354,0.0892,0.0894,2.4,4.24,0.014,0.000551,2.07,1290,561,5.08,0.0106,6.36,7530,29
188,1.01,1,0.017,1e-12,-2.86e-15,1,109000,1250,15200,2940000,2.4,0.351,5.15,0.00026,2.73,38.8,0.0554,15.4,0.628,0.0723,32.1,2380
189,0.999,1,2.11,-1.9e-11,-2.11e-16,1,2700,2080,5050,5780,2.4,672,51.3,2.8,1400,344,0.858,520,0.775,0.374,6.48,7.68
190,1,1,1.73,-7.31e-15,0,1,1.81e+08,30.3,30.5,1.81e+08,2.4,10.5,0.00907,766,308,72.9,0.668,18.7,272,0.0444,447,4.72
191,0.974,0.974,6.79e-09,9.5e-10,-2.37e-16,1,17500,0.921,17100,17500,2.4,19.2,0.00575,0.000243,2.61,910,2.84,77.6,303,200,30.3,3660
192,0.976,0.976,0.000265,-5.67e-09,-2e-16,1,7470,0.183,5.2,7580,2.4,0.184,0.00754,0.00675,100,309,558,122,5.51,0.00711,972,674
193,0.0227,0.0265,0.00101,9.61e-10,0,0.893,8.33,0.0458,1.55,9.78,2.4,526,1.74,12,1.45,18.5,591,1020,0.0182,7.99,6.55,1.88
194,0.646,0.646,1.48e-07,3.79e-09,-2.31e-16,0.999,830,6.21,829,830,2.4,161,0.0903,0.000522,29.2,733,4.67,2.85,17.4,206,14.4,2780
195,0.959,0.959,1.34e-06,5.41e-06,3.02e-16,1,11200,0.194,210,11200,2.4,5.26,0.00155,0.196,6.63,89.8,35.5,282,237,7.89,2.39,1.35
196,0.921,0.921,0.00294,-2.25e-08,1.36e-16,1,3840,721,2260,3840,2.4,27.5,0.0167,3.08,1250,791,1.25,388,0.00109,0.24,15.3,24.5
197,1,1,10900,9.67e-14,0,1,71000,1.19,1.2,1190000,2.4,76.6,3.61,828,186,36.1,36,43,1.24,0.213,3780,704
198,1,1,0.00934,-5.78e-13,5.42e-13,1,23400000,14300,20300000,28700000,2.4,316,55.5,0.0745,606,8.83,0.0519,16.1,526,442,17.4,417
199,0.9,0.81,4.08e-09,0.0893,0,1,4290,0.221,3700,4290,2.4,6.8,0.000616,0.00798,12.1,7.57,54.5,60.1,57.7,964,1.06,5.77
200,0.98,0.98,5.03e-08,-1.64e-09,-4.13e-15,1,4740,851,4740,4740,2.4,10.4,0.179,0.000164,273,1.13,0.263,1.41,0.0372,573,118,513
201,1,1,1.38e-06,-1.54e-16,1.54e-16,1,330000,526,209000,330000,2.4,0.835,0.00149,0.02,79.5,3.12,0.151,24.5,0.432,2.07,132,1.26
202,0.0737,0.0775,0.0195,2.92e-07,0,0.965,27.9,0.00549,0.00552,29.4,2.4,21.8,0.00176,22,4.04,1.54,1380,7.62,0.0533,0.153,2370,8300
203,0.978,0.978,4.62e-05,4.97e-09,5.74e-16,1,18400,0.386,9400,18500,2.4,4.15,2.34,0.00772,2.59,162,6.72,41.7,165,384,2100,378
204,0.706,0.706,8.57e-07,-0.00137,-1.74e-16,0.999,1120,4.61,1010,1120,2.4,4.04,0.00283,0.0626,2.88,14.4,0.644,240,0.249,126,1.15,12.1
205,1,1,40.7,3.6e-08,0,1,236000,0.341,0.38,732000,2.4,0.277,14.3,365,18.1,10.5,540,199,1.38,0.0322,11,1.54
206,0.953,0.953,0.000288,-1.54e-08,0,1,6790,0.373,2290,6790,2.4,17.5,2.8,0.0871,8.19,1320,22,3.92,264,806,7340,52.7
207,0.996,1,670,-8.48e-11,1.7e-16,0.999,1710,39.7,39.8,64600,2.4,39.2,27,10.9,16.5,2.7,0.0574,1.62,0.0556,0.0257,85.6,3.91
208,0.991,0.996,0.00237,-5.93e-11,1.82e-16,0.996,233,9.42,513,530,2.4,74.4,9.1,0.000302,116,44.4,27.6,7.2,1.2,0.00332,12.5,6.25
209,1,1,4.32e-05,-4.82e-11,0,1,9530,171,9730,9740,2.4,4.37,1.35,0.000943,897,447,5.26,216,0.0038,20,26.4,22.7
210,0.997,0.997,0.000862,1.38e-11,0,1,153000,7.27,10.2,154000,2.4,0.639,0.000348,22.8,507,15.8,33.7,140,2.47,9.13,45.3,3330
211,0.999,0.999,0.17,-1.06e-09,4.9e-16,0.999,1000,90.5,511,1000,2.4,0.594,1.61,6.44,19,493,0.174,1.36,0.00387,61.1,280,294
212,1,1,120,-9.51e-16,-1.19e-16,1,10100,0.0695,0.0695,159000,2.4,0.584,0.997,33.5,5.93,17.5,1050,72.9,0.0228,0.255,1870,2890
213,0.951,1,151,-2.16e-10,1.88e-16,1,4450,1.85,1.85,542000,2.4,611,24.9,4.79,61.7,1.22,8.03,4.69,200,0.519,70.6,17.3
214,0.326,0.326,7.81e-05,-1.05e-08,0,0.994,160,100,158,160,2.4,10.8,0.00986,13.4,102,511,0.373,21.2,0.00493,554,1300,6600
215,0.999,0.999,1.42e-06,-1.71e-09,0,1,378000,144,199000,378000,2.4,91.1,0.00414,0.0123,450,161,3.11,2.76,196,35.7,1.48,1340
216,1,1,1720,2.65e-15,-1.32e-16,1,65500000,118,118,8.92e+08,2.4,0.136,13.9,5.41,2.56,947,0.319,37.7,0.506,0.0359,683,4670
217,0.999,1,135,-1.33e-10,0,0.985,67.3,0.725,0.934,90.3,2.4,133,52.7,883,9.44,55.3,136,124,3.05,328,6680,7.14
218,0.333,0.333,0.000594,1.42e-07,2.43e-16,0.996,222,1.16,31.5,222,2.4,21.1,0.0541,0.856,9.75,760,8.31,8.89,3.18,24.1,214,4.77
219,0.0163,0.0167,2.73e-06,-1.17e-06,-3.33e-16,0.866,6.44,0.0661,3.51,6.61,2.4,22.7,0.0186,0.0332,69.7,7.36,1070,39,0.00728,2.09,580,23
220,0.0177,0.0184,0.00012,-1.39e-07,0,0.871,6.78,0.0158,0.292,7.05,2.4,38.4,0.124,0.182,11.5,148,1250,165,13,1.5,3420,85.3
221,1,1,9.91,-4.41e-14,2.51e-15,0.992,131,150,164,37100,2.4,37.1,269,0.00454,33.4,11.5,5.49,1.48,0.645,0.113,301,147
222,0.998,0.998,0.888,-1.04e-09,0,1,16700,0.0385,0.059,16700,2.4,1.69,0.473,348,28.3,252,1410,68,209,183,711,32
223,1,1,604,-2.05e-11,0,1,43600,41,41.1,262000,2.4,12.1,7.65,23.9,8.39,17,0.0851,3.39,0.133,0.028,33.8,12.3
224,1,1,4830,-7.53e-16,3.76e-16,1,330000,0.598,0.598,1.09e+09,2.4,6.61,88.3,36.3,21.2,15.2,632,378,2.29,0.576,11.9,4340
225,0.989,0.989,700,-5.8e-10,0,0.952,20,0.00501,0.00527,21.8,2.4,268,39.7,214,5.26,167,890,4.4,46.9,8.45,1540,1.23
226,0.4,0.399,4.75e-09,-5.75e-06,-5.57e-16,0.997,326,0.159,264,326,2.4,23,0.000104,0.00157,1.32,582,8.35,37.4,38.9,0.0383,34.2,2.73
227,0.98,1,2130,-3.04e-11,0,0.991,116,71,71.1,24100,2.4,241,409,2.3,1.37,66.9,0.213,14.9,0.0145,0.00111,4.41,33.9
228,0.00105,0.00105,5.03e-07,-0.000549,2.26e-16,0.332,0.496,0.146,0.221,0.496,2.4,104,0.000441,0.144,4.91,284,102,35.9,0.0721,0.128,3770,8560
229,1,1,0.00895,-1.74e-12,0,1,1150000,2250,2330,1210000,2.4,2.09,0.000368,88.7,21.3,1.34,0.334,780,0.0238,0.333,29.9,236
230,0.962,0.966,0.000614,3.68e-07,-1.02e-15,0.999,1460,0.57,379,1610,2.4,0.721,0.611,0.0673,4.74,2.58,9.25,29.2,0.517,63.7,7.88,27.1
231,0.903,0.903,1.64e-10,-4.09e-10,1.43e-16,1,2430,0.658,2410,2420,2.4,0.678,0.000784,0.000159,841,712,1270,66.5,1.57,689,2570,421
232,1,1,6.78e-06,-9.59e-05,3.76e-16,1,90900,384,66900,90900,2.4,0.156,0.00443,0.44,30.2,259,0.078,3.11,0.00658,288,3.27,71.7
233,0.612,0.613,8.19e-05,-9.44e-08,4.05e-16,0.999,731,1.17,37,733,2.4,171,0.00431,2.97,553,9.25,466,364,0.00144,57,5.42,9.36
234,0.998,0.999,0.0712,5.08e-10,-1.69e-14,0.999,842,1260,1360,1370,2.4,17.8,1.3,24.5,466,2.77,0.05,605,0.00123,444,3670,281
235,1,1,9.41,2.09e-14,0,1,1.3e+08,52,194,1.45e+08,2.4,0.159,28.6,0.575,192,399,3.01,2.72,268,0.515,2.92,2.21
236,1,1,16.1,0,-2.2e-16,1,3890,816,894,1800000,2.4,24.7,719,0.301,1140,3.75,57.1,32.5,3.92,0.00122,1350,2.42
237,1,1,0.0195,0,0,1,8.82e+10,13200,14000,8.9e+10,2.4,0.215,0.00112,9.08,8.79,174,0.0565,789,64.6,0.0249,2.68,1590
238,0.188,0.188,5.98e-10,4.14e-07,-2.59e-16,0.991,109,0.206,108,109,2.4,120,0.000192,0.0111,17.3,237,84,1100,52.6,634,2960,29.2
