id,AFIR_sim,SCIM_sim,TLss_sim,TLss_frac_change,TL0_05tau_frac_change,AFIR_thy,AFIR_simple_thy,SCIM_thy,SCIM_simpler_thy,SCIM_simplest_thy,dose,T0,L0,keT,keL,keDT,keTL,Kd_DT,Kd_TL,kon_DT,kon_TL,Cavgss
79,1,1,2.34,-2.25e-11,0,1,944000,0.0735,0.0735,958000,1.31,0.00184,848,116,4.45,328,24,0.118,0.00124,30.3,36.1,12.1
80,1,1,2860,-1.36e-08,0,1,10700,5.43,5.51,95500,94.7,402,535,81.7,56,17.1,82.6,14.2,0.00197,2.33,1.1,877
81,1,1,0.000205,-6.05e-14,2.64e-16,1,1790000,21.3,955,1790000,0.168,0.00902,14.8,9.75,632,0.459,9.93,11.5,650,255,3280,1.56
82,0.0609,0.0609,6.07e-05,-3.39e-07,0,0.964,26.7,0.372,1.71,26.7,2.4,0.00383,81.6,24.4,88,56.2,8.99,0.0269,313,664,2030,22.2
83,1,1,5.16,-2.39e-11,0,1,10400,0.0935,0.0982,10900,0.148,0.277,210,2.33,6.2,132,12.9,0.00177,11.1,190,106,1.37
84,0.00164,0.00321,0.00121,-2.38e-08,3e-13,0.281,0.391,0.0345,0.448,0.767,611,21.2,0.0315,4.42,62.9,236,5.08,0.761,1.78,24.5,8660,5660
85,1,1,0.541,-6.16e-15,0,1,947000,21.8,22,951000,263,0.00552,389,982,18.5,2.68,49.1,93.1,0.0212,1.08,12.4,2430
86,0.999,0.999,4.56e-05,-2.17e-12,0,1,597000,190,1850,626000,1.11,0.000421,0.305,680,2.81,3.88,927,0.29,0.0131,1.58,332,10.3
87,0.639,0.639,0.000156,3.57e-09,0,0.999,815,15.5,26.1,815,4.4,0.000174,90.8,367,1.49,9.79,2.83,0.0657,64.4,760,15,40.8
88,0.363,0.355,0.00866,4.18e-07,-1.42e-16,0.906,9.59,5.55,9.84,9.84,525,24.9,0.00426,8.18,1430,0.659,6.5,0.286,0.927,13,1.9,4860
89,1,1,0.437,1.67e-09,-8.64e-15,1,28300,26000,70000,81300,55.3,15.3,0.114,517,5.51,0.0359,2.69,0.09,3.91,7050,43.2,512
90,0.0429,0.0429,1.55e-05,-5.01e-08,0,0.946,17.4,0.051,0.415,17.4,1.01,0.00263,0.979,21.6,240,386,6.05,0.205,7.15,8630,1610,9.31
91,1,1,0.0102,2.71e-12,0,1,34900,13.8,41400,169000,84.2,196,0.00163,343,180,120,110,847,0.00208,19.1,3.52,780
92,0.998,0.998,3.58e-09,1.82e-14,1.15e-16,1,266000,2.73,96300,266000,4.8,0.000198,0.000594,89.2,462,32.7,46.9,388,14.6,422,2.58,44.5
93,0.996,0.996,0.985,-4.56e-08,-1.12e-16,1,121000,0.0381,0.0393,121000,6.28,0.0292,4.37,710,143,564,1.18,141,0.00154,1.7,9.26,58.1
94,0.49,0.49,1.6e-05,-7.08e-08,4.16e-16,0.998,454,0.749,16.2,456,37.6,0.000698,0.0228,73.4,12,95.8,32.7,6.31,0.00512,8.12,67.6,348
95,1.02,1.02,0.206,-1.52e-07,0,1,2800,105,106,2830,744,0.00318,111,44.5,2.2,0.119,12.5,0.245,0.587,74.4,10.7,6890
96,1.03,1.03,0.0205,3.02e-08,1.74e-16,1,27800,3940,7360,27800,508,0.0235,16.7,399,72.1,0.0527,56.9,1.38,16.7,9580,19.1,4700
97,0.967,0.968,0.989,6.53e-09,2.17e-16,1,7160,13.5,26.4,7390,29.1,1.01,346,50.8,2.55,2.94,27.8,4.22,342,1.32,31,270
98,0.0365,0.0365,9.94e-09,-4.96e-06,1.94e-16,0.947,17.9,5.52,17.8,17.9,127,0.000457,0.00898,228,227,28.5,271,0.0512,0.0589,155,18,1170
99,0.881,0.881,3.93e-05,5.11e-12,1.52e-16,0.999,811,0.555,335,811,5.42,0.0457,0.00939,157,151,282,22.6,4.86,8.28,166,16.7,50.2
100,1,1,1.65e-05,-9.88e-09,2.05e-16,1,2810000,638,3570000,5270000,0.213,0.537,0.000142,446,16.6,1.31,124,1.01,0.227,2.86,28.4,1.98
