"","time","D","AmtD0","AmtD","AmtD2","T","DT","L","TL","Ttot","Ltot","Dtot","dose","drug","target","ligand","order"
"2333",22.4,1041.54974326365,0,3630.84240501707,699.800871079644,1.6698321704565e-07,0.00196725446749231,0.400024579790401,2.50876796588214e-08,0.00196744653838901,0.400024604878081,1041.55171051811,10,"Siltuximab","sIL-6","mIL-6R",5
"2334",22.5,1025.00643604607,0,3573.17243605661,736.435534987048,1.72179390499277e-07,0.00209573317142926,0.40002457990198,2.5878225650152e-08,0.0020959312290454,0.400024605780206,1025.00853177924,10,"Siltuximab","sIL-6","mIL-6R",5
"2335",22.6,1008.97716999668,0,3517.29441460841,771.609781029983,1.77447769988982e-07,0.00222382107272389,0.400024579475297,2.66801620223427e-08,0.0022240252006559,0.400024606155459,1008.97939381775,10,"Siltuximab","sIL-6","mIL-6R",5
"2336",22.7,993.444277625845,0,3463.14675180369,805.374914002068,1.82786942413227e-07,0.00235151926337264,0.400024578746686,2.74931887253165e-08,0.00235172954350378,0.400024606239875,993.446629145108,10,"Siltuximab","sIL-6","mIL-6R",5
"2337",22.8,978.390704516084,0,3410.66999594307,837.78045492922,1.8819545767326e-07,0.00247882883371898,0.400024577845963,2.83170634878462e-08,0.00247904534624014,0.400024606163026,978.393183344918,10,"Siltuximab","sIL-6","mIL-6R",5
"2338",22.9,963.799988029983,0,3359.80675827252,868.87420303072,1.93671828126587e-07,0.00260575087252093,0.400024576844505,2.91515554052902e-08,0.00260597369590446,0.400024605996061,963.802593780855,10,"Siltuximab","sIL-6","mIL-6R",5
"2339",23,949.656236757006,0,3310.50164133492,898.702295530208,1.99214532332889e-07,0.00273228646699674,0.400024575781631,2.99964327196293e-08,0.0027325156779618,0.400024605778064,949.658969043473,10,"Siltuximab","sIL-6","mIL-6R",5
"2340",23.1,935.944110675414,0,3262.70116981449,927.309265385576,2.04822018832984e-07,0.00285843670286267,0.400024574679057,3.0851459917691e-08,0.00285867237634142,0.400024605530517,935.946969112117,10,"Siltuximab","sIL-6","mIL-6R",5
"2341",23.2,922.648802002166,0,3216.35372377955,954.738097016766,2.10492709938885e-07,0.00298420266436535,0.400024573548849,3.17163973559115e-08,0.00298444487347265,0.400024605265246,922.65178620483,10,"Siltuximab","sIL-6","mIL-6R",5
"2342",23.3,909.756016708433,0,3171.4094742456,981.030280096576,2.16225005518675e-07,0.00310958543430958,0.400024572397775,3.25910015859389e-08,0.00310983425031668,0.400024604988777,909.759126293867,10,"Siltuximab","sIL-6","mIL-6R",5
"2343",23.4,897.251956677012,0,3127.82032097606,1006.22586147347,2.22017286759992e-07,0.00323458609408175,0.400024571229703,3.34750258658286e-08,0.00323484158639438,0.400024604704729,897.255191263106,10,"Siltuximab","sIL-6","mIL-6R",5
"2344",23.5,885.123302479452,0,3085.53983244337,1030.36349529095,2.27867919896865e-07,0.00335920572366901,0.400024570046904,3.43682207180688e-08,0.00335946795980963,0.400024604415125,885.126661685176,10,"Siltuximab","sIL-6","mIL-6R",5
"2345",23.6,873.35719675151,0,3044.52318787576,1053.48049136576,2.33775259885361e-07,0.00348344540167428,0.400024568850778,3.52703344954594e-08,0.00348371444726866,0.400024604121113,873.360680196912,10,"Siltuximab","sIL-6","mIL-6R",5
"2346",23.7,861.941228145594,0,3004.72712131554,1075.61286188693,2.39737654014433e-07,0.00360730620532716,0.400024567642248,3.61811139425056e-08,0.00360758212409512,0.400024603823362,861.944835451799,10,"Siltuximab","sIL-6","mIL-6R",5
"2347",23.8,850.863415841299,0,2966.10986762277,1096.79536649082,2.45753445438777e-07,0.00373078921049094,0.400024566421972,3.71003047473943e-08,0.00373107206424113,0.400024603522277,850.86714663051,10,"Siltuximab","sIL-6","mIL-6R",5
"2348",23.9,840.112194593361,0,2928.63111035246,1117.06155577211,2.51820976622027e-07,0.00385389549166577,0.400024565190465,3.80276520818751e-08,0.00385418534029447,0.400024603218117,840.116048488853,10,"Siltuximab","sIL-6","mIL-6R",5
"2349",24,829.676400299166,0,2892.25193144289,1136.44381328292,2.57938592679024e-07,0.00397662612198802,0.400024563948164,3.89629011270375e-08,0.00397692302348182,0.400024602911065,829.680376925288,10,"Siltuximab","sIL-6","mIL-6R",5
"2350",24.1,819.545256067488,0,2856.93476265126,1154.97339607325,2.64104644607131e-07,0.00409898217322621,0.400024562695461,3.9905797583257e-08,0.0040992861836684,0.400024602601258,819.549355049661,10,"Siltuximab","sIL-6","mIL-6R",5
"2351",24.2,809.708358771112,0,2822.6433386761,1172.68047382329,2.7031749239751e-07,0.00422096471577343,0.400024561432722,4.08560881627828e-08,0.00422127588935399,0.40002460228881,809.712579735828,10,"Siltuximab","sIL-6","mIL-6R",5
"2352",24.3,800.155666066517,0,2789.34265190788,1189.59416661652,2.76575508018309e-07,0.00434257481863655,0.4000245601603,4.18135210636013e-08,0.00434289320766563,0.400024601973821,800.160008641336,10,"Siltuximab","sIL-6","mIL-6R",5
"2353",24.4,790.877483864407,0,2756.99890875132,1205.74258140085,2.82877078262712e-07,0.00446381354942227,0.400024558878538,4.27778464233766e-08,0.00446413920434695,0.400024601656385,790.881947677956,10,"Siltuximab","sIL-6","mIL-6R",5
"2354",24.5,781.864454235419,0,2725.57948746467,1221.15284718325,2.89220607455858e-07,0.00458468197432033,0.400024557587772,4.37488167524178e-08,0.00458501494374454,0.400024601336588,781.869038917394,10,"Siltuximab","sIL-6","mIL-6R",5
"2355",24.6,773.107543735908,0,2695.05289746337,1235.85114900203,2.95604520015648e-07,0.00470518115808393,0.400024556288331,4.47261873447894e-08,0.00470552148879129,0.400024601014518,773.112248917066,10,"Siltuximab","sIL-6","mIL-6R",5
"2356",24.7,764.598032139263,0,2665.38874003747,1249.8627607189,3.02027262863394e-07,0.00482531216400753,0.400024554980541,4.57097166668247e-08,0.00482565990098706,0.400024600690258,764.602857451427,10,"Siltuximab","sIL-6","mIL-6R",5
"2357",24.8,756.32750155845,0,2636.55767043276,1263.21207667256,3.08487307681438e-07,0.00494507605390236,0.400024553664721,4.66991667224795e-08,0.00494543124037676,0.400024600363888,756.332446634504,10,"Siltuximab","sIL-6","mIL-6R",5
"2358",24.9,748.287825946386,0,2608.5313612491,1275.92264223275,3.1498315301549e-07,0.00506447388806967,0.400024552341187,4.769430339508e-08,0.00506483656552608,0.40002460003549,748.292890420274,10,"Siltuximab","sIL-6","mIL-6R",5
"2359",25,740.471160961339,0,2581.28246711123,1288.01718329207,3.21513326220485e-07,0.0051835067252719,0.400024551010246,4.86948967651538e-08,0.00518387693349489,0.400024599705143,740.476344468064,10,"Siltuximab","sIL-6","mIL-6R",5
