"","F","ka","V1","k12","k21","T0","L0","keD","keT","keL","keDT","keTL","Vm","Km","kon_DT","Kd_DT","kon_TL","Kd_TL","TL0_sim","T0_sim","L0_sim","Ttotss_sim","Tss_sim","Lss_sim","Dss_sim","TLss_sim","AFIR_sim","SCIM_sim","time_last_dose","TLss_frac_change","TL0_05tau_frac_change","error_simulation","T0_thy","TL0_thy","L0_thy","Ttotss_thy","Lss_thy","Tss_thy","TLss_thy","Tfold_thy","Lfold_thy","Dss_thy","Cavgss_thy","Ccrit_thy","AFIR_thy","AFIR_simple_thy","SCIM_thy","SCIM_adhoc_thy","SCIM_simpler_thy","SCIM_simplest_thy","SCIM_Lfold_thy","SCIM_Lfold_adhoc_thy","dose_mpk","drug","target","ligand","order","id","tmax","tau","dose_nmol","koff_DT","Kss_DT","koff_TL","Kss_TL","assumption_SCIM_lt_30","assumption_drug_gg_Ttot","assumption_drug_gg_KssDT","assumption_koffDT_gt_keT","assumption_Dss_gt_Ccrit","assumption_Dss_gg_LssKssDT_KssTL","assumption_ODE_tolerance","assumption_all_SCIM"
"14",0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,0.000681818181818182,0.15,0.01,0.150681818181818,0.0020112942941419,0.0106720872785712,118.254935976324,9.73090324697339e-06,0.0134086286276127,0.0142719914288943,357,-0.000113331849432041,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,8.72213070091178e-06,1.00454545454545,1.06818181818182,132.60095467281,132.60095467281,14.8270909090909,0.0119759627141289,0.0121211248534268,0.0127924583613378,0.0126316003132395,0.0129468066792595,0.0129475651843428,0.0129475651843423,0.0127820685190018,1.77827941003892,"Atezolizumab","mPD-L1","mPD-1",2,13,364,21,829.863724684831,0.08,1.6,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"15",0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,0.000681818181818182,0.15,0.01,0.150681818181818,0.00107988722516971,0.0106765907295412,221.642291397765,5.22745227696449e-06,0.00719924816779804,0.00766693000621458,357,-0.000113970951801481,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,4.93066592779172e-06,1.00454545454545,1.06818181818182,235.801547446163,235.801547446163,14.8270909090909,0.00677006324406378,0.00681620941287372,0.00723164336076149,0.00717995542889836,0.00728071109723376,0.00728095096375178,0.00728095096375145,0.00722832190640074,3.16227766016838,"Atezolizumab","mPD-L1","mPD-1",2,14,364,21,1475.72957474524,0.08,1.6,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"16",0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,0.000681818181818182,0.15,0.01,0.150681818181818,0.000592080070559798,0.0106789512646697,405.579875425703,2.86691714848765e-06,0.00394720047039865,0.00420481181778188,357,-0.000114172715961153,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,2.78095965607078e-06,1.00454545454545,1.06818181818182,419.321036678828,419.321036678828,14.8270909090909,0.00381840016781117,0.00383303623401034,0.00407874082890397,0.00406224694860082,0.0040943037600553,0.00409437961360212,0.00409437961360194,0.00407768402725006,5.62341325190349,"Atezolizumab","mPD-L1","mPD-1",2,15,364,21,2624.25951755496,0.08,1.6,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"17",0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,0.000681818181818182,0.15,0.01,0.150681818181818,0.000328313863166515,0.0106802282058601,732.717446057471,1.58997595803641e-06,0.00218875908777677,0.0023319647384534,357,-0.000114242021048557,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,1.56646715376087e-06,1.00454545454545,1.06818181818182,745.669965722136,745.669965722136,14.8270909090909,0.00215083859720898,0.002155474675336,0.00229748515884938,0.00229224259534023,0.00230241487055322,0.00230243885774537,0.00230243885774526,0.00229714981075891,10,"Atezolizumab","mPD-L1","mPD-1",2,16,364,21,4666.66666666667,0.08,1.6,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"18",0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,0.000681818181818182,0.15,0.01,0.150681818181818,0.000183186278107473,0.0106809309625328,1314.4838979849,8.87219285382457e-07,0.00122124185404982,0.00130125495189427,357,-0.000114267969550591,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,8.81719462403803e-07,1.00454545454545,1.06818181818182,1326.0095467281,1326.0095467281,14.8270909090909,0.00121064504736545,0.00121211248534268,0.00129318854485896,0.0012915259157444,0.00129474893298351,0.00129475651843428,0.00129475651843423,0.00129308229170816,17.7827941003892,"Atezolizumab","mPD-L1","mPD-1",2,17,364,21,8298.63724684831,0.08,1.6,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"19",0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,0.000681818181818182,0.15,0.01,0.150681818181818,0.000102563344907642,0.0106813214172546,2349.04065994574,4.96764563628766e-07,0.000683755632717613,0.000728588026655523,357,-0.000114278602447038,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,4.96090224992155e-07,1.00454545454545,1.06818181818182,2358.01547446163,2358.01547446163,14.8270909090909,0.000681156650649992,0.000681620941287372,0.000727598996655191,0.000727072373268571,0.000728092697638875,0.000728095096375178,0.000728095096375145,0.000727565359604525,31.6227766016838,"Atezolizumab","mPD-L1","mPD-1",2,18,364,21,14757.2957474524,0.08,1.6,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"20",0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,0.000681818181818182,0.15,0.01,0.150681818181818,5.75342112505991e-05,0.0106815395081134,4188.77912770554,2.78673704787908e-07,0.000383561408337328,0.000408721433688932,357,-0.000114283357503905,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,2.79055250493651e-07,1.00454545454545,1.06818181818182,4193.21036678828,4193.21036678828,14.8270909090909,0.000383156758027351,0.000383303623401034,0.000409281034057372,0.00040911434897305,0.000409437202812096,0.000409437961360212,0.000409437961360194,0.000409270390525852,56.2341325190349,"Atezolizumab","mPD-L1","mPD-1",2,19,364,21,26242.5951755496,0.08,1.6,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"21",0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,0.000681818181818182,0.15,0.01,0.150681818181818,3.23093041110205e-05,0.010681661685611,7460.35234292361,1.56496207187902e-07,0.000215395360740136,0.000229527770542256,357,-0.000114285649170281,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,1.56950626826242e-07,1.00454545454545,1.06818181818182,7456.69965722136,7456.69965722136,14.8270909090909,0.00021550101683517,0.0002155474675336,0.000230194252678498,0.000230141515140492,0.000230243645900366,0.000230243885774537,0.000230243885774526,0.000230190885730526,100,"Atezolizumab","mPD-L1","mPD-1",2,20,364,21,46666.6666666667,0.08,1.6,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"22",0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,0.000681818181818182,0.15,0.01,0.150681818181818,1.81547927122534e-05,0.0106817302449307,13278.1259707807,8.79368875311076e-08,0.000121031951415023,0.000128974101712291,357,-0.000114286817915685,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,8.82681511359708e-08,1.00454545454545,1.06818181818182,13260.095467281,13260.095467281,14.8270909090909,0.000121196558148137,0.000121211248534268,0.000129459954999429,0.000129443273105907,0.000129475575988521,0.000129475651843428,0.000129475651843423,0.000129458890069244,177.827941003892,"Atezolizumab","mPD-L1","mPD-1",2,21,364,21,82986.3724684831,0.08,1.6,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"23",0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,0.000681818181818182,0.15,0.01,0.150681818181818,1.02047475157828e-05,0.0106817687525624,23623.7543390258,4.94292558039273e-08,6.80316501052187e-05,7.249624184576e-05,357,-0.000114287437400895,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,4.96394629065108e-08,1.00454545454545,1.06818181818182,23580.1547446163,23580.1547446163,14.8270909090909,6.81574483743255e-05,6.81620941287372e-05,7.28045455962189e-05,7.27992694609192e-05,7.28094856500836e-05,7.28095096375177e-05,7.28095096375145e-05,7.28042087987723e-05,316.227766016838,"Atezolizumab","mPD-L1","mPD-1",2,22,364,21,147572.957474524,0.08,1.6,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
