"","T0_thy","Ttotss_thy","Lss_thy","Dss_thy","AFIR_thy","AFIR_simple_thy","SCIM_thy","SCIM_adhoc_thy","SCIM_simpler_thy","SCIM_simplest_thy","param.to.change","TL0_sim","T0_sim","L0_sim","Ttotss_sim","Lss_sim","Dss_sim","AFIR_sim","SCIM_sim","time_last_dose","TLss_sim","TLss_frac_change","TL0_05tau_frac_change","error_simulation","param","fold.change.param","drug"
"20",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.40851e-05,8.41007e-05,8.41097e-05,8.412e-05,6,0.366667,0.5,7.33333,0.250052,7.33333,6881.93,8.41861e-05,8.37339e-05,357,3.07024e-05,-9.0856e-05,0,0,"keDT",1,"Pembro"
"21",0.5,0.025,7.33333,6887.92,5.64469e-05,5.64501e-05,5.62933e-05,5.63841e-05,5.64034e-05,5.64501e-05,60,0.366667,0.5,7.33333,0.0250474,7.33333,6881.92,5.6496e-05,5.61925e-05,357,2.06039e-05,-9.09167e-05,0,0,"keDT",9.99999999999997,"Pembro"
"22",0.5,0.0025,7.33333,6887.92,5.36802e-05,5.36831e-05,5.22981e-05,5.31108e-05,5.32637e-05,5.36831e-05,600,0.366667,0.5,7.33333,0.00254632,7.33333,6881.93,5.37269e-05,5.34383e-05,357,1.9594e-05,-9.08744e-05,0,0,"keDT",99.9999999999998,"Pembro"
"23",0.5,0.00025,7.33333,6887.92,5.34035e-05,5.34064e-05,4.22696e-05,4.82507e-05,4.9527e-05,5.34064e-05,6000,0.366667,0.5,7.33333,0.000296208,7.33333,6881.92,5.345e-05,5.31629e-05,357,1.94931e-05,-9.07235e-05,0,0,"keDT",999.999999999999,"Pembro"
"24",0.5,2.5e-05,7.33333,6887.92,5.33759e-05,5.33787e-05,1.46913e-05,2.58166e-05,2.99395e-05,5.33787e-05,60000,0.366667,0.5,7.33333,7.11927e-05,7.33333,6881.93,5.34223e-05,5.31353e-05,357,1.9483e-05,-9.08427e-05,0,0,"keDT",9999.99999999997,"Pembro"
"25",0.5,2.5e-06,7.33333,6887.92,5.33731e-05,5.3376e-05,1.95286e-06,4.57173e-06,6.04589e-06,5.3376e-05,6e+05,0.366667,0.5,7.33333,4.86916e-05,7.33333,6881.92,5.34195e-05,5.31326e-05,357,1.94819e-05,-9.08423e-05,0,0,"keDT",99999.9999999998,"Pembro"
"26",0.5,2.5e-07,7.33333,6887.92,5.33728e-05,5.33757e-05,2.01936e-07,4.9536e-07,6.73219e-07,5.33757e-05,6e+06,0.366667,0.5,7.33333,4.64415e-05,7.33333,6881.92,5.34193e-05,5.31323e-05,357,1.94818e-05,-9.08423e-05,0,0,"keDT",1e+06,"Pembro"
"27",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,3.39533e-07,1.34188e-06,6.76336e-07,8.412e-05,5e-06,366667,0.5,7.33333,366052,7.9433,6852.98,0.000187676,0.998322,357,366051,-0.00010499,0,0,"koff_TL",1e-06,"Pembro"
"28",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,3.27629e-06,1.17339e-05,6.30698e-06,8.412e-05,5e-05,36666.7,0.5,7.33333,36056.6,7.93416,6853.37,0.000186119,0.983348,357,36056.1,-0.00105039,0,0,"koff_TL",9.99999999999999e-06,"Pembro"
"29",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,2.42582e-05,5.20207e-05,3.76585e-05,8.412e-05,5e-04,3666.67,0.5,7.33333,3100.38,7.84995,6856.99,0.000171781,0.845421,357,3099.88,-0.0105536,0,0,"koff_TL",9.99999999999999e-05,"Pembro"
