"","TL0_keTL0_thy","T0_thy","Ttot_thy","Lss_thy","Dss_thy","SCIM_thy_keTL0","SCIM_thy_keTL_negroot","SCIM_thy_keTL_negroot26","SCIM_thy_keTL_negroot29","SCIM_thy_keTL_negroot31","SCIM_thy_keTL_posroot","AFIR_thy","AFIR_thy_simple","param.to.change","fold.change.param","TL0_sim","T0_sim","L0_sim","Ttot_sim","L_sim","D_sim","SCIM_sim","time_last_dose","TLss_sim","TLss_frac_change","TL0_05tau_frac_change","param.to.change1","fold.change.param1","param","drug"
"21",0.00726,0.5,0.025,7.33333,6887.92,0.00284545,NA,NA,NA,NA,0,5.64497e-05,0.00285101,60,10,0.366667,0.5,7.33333,0.0250474,7.33333,6881.93,5.61925e-05,357,2.06039e-05,-9.0849e-05,0,60,10,"keDT","Pembro"
"22",0.00726,0.5,0.0025,7.33333,6887.92,0.00266173,NA,NA,NA,NA,0,5.36831e-05,0.00271127,600,100,0.366667,0.5,7.33333,0.00254632,7.33333,6881.93,5.34383e-05,357,1.9594e-05,-9.08455e-05,0,600,100,"keDT","Pembro"
"23",0.00726,0.5,0.00025,7.33333,6887.92,0.00227592,NA,NA,NA,NA,0,5.34064e-05,0.00269729,6000,1000,0.366667,0.5,7.33333,0.000296204,7.33333,6881.92,5.31629e-05,357,1.94931e-05,-9.0759e-05,0,6000,1000,"keDT","Pembro"
"24",0.00726,0.5,2.5e-05,7.33333,6887.92,0.000945775,NA,NA,NA,NA,0,5.33787e-05,0.0026959,60000,10000,0.366667,0.5,7.33333,7.11928e-05,7.33333,6881.93,5.31353e-05,357,1.9483e-05,-9.08479e-05,0,60000,10000,"keDT","Pembro"
"25",0.00726,0.5,2.5e-06,7.33333,6887.92,0.000138218,NA,NA,NA,NA,0,5.3376e-05,0.00269576,6e+05,1e+05,0.366667,0.5,7.33333,4.86916e-05,7.33333,6881.92,5.31326e-05,357,1.94819e-05,-9.08423e-05,0,6e+05,1e+05,"keDT","Pembro"
"26",0.00726,0.5,2.5e-07,7.33333,6887.92,1.44905e-05,NA,NA,NA,NA,0,5.33757e-05,0.00269574,6e+06,1e+06,0.366667,0.5,7.33333,4.64415e-05,7.33333,6881.92,5.31323e-05,357,1.94818e-05,-9.08423e-05,0,6e+06,1e+06,"keDT","Pembro"
"27",7260,0.5,0.25,7.33333,6887.92,3.41584e-05,NA,NA,NA,NA,0,8.41139e-05,0.00424849,5e-06,1e-06,366667,0.5,7.33333,366052,7.9433,6852.98,0.998322,357,366051,-0.00010499,0,5e-06,1e-06,"koff_TL","Pembro"
"28",726,0.5,0.25,7.33333,6887.92,0.00031853,NA,NA,NA,NA,0,8.41139e-05,0.00424849,5e-05,1e-05,36666.7,0.5,7.33333,36056.6,7.93416,6853.37,0.983348,357,36056.1,-0.00105039,0,5e-05,1e-05,"koff_TL","Pembro"
"29",72.6,0.5,0.25,7.33333,6887.92,0.0019018,NA,NA,NA,NA,0,8.41139e-05,0.00424849,5e-04,1e-04,3666.67,0.5,7.33333,3100.38,7.84995,6856.99,0.845421,357,3099.88,-0.0105536,0,5e-04,1e-04,"koff_TL","Pembro"
"30",7.26,0.5,0.25,7.33333,6887.92,0.00378133,NA,NA,NA,NA,0,8.41139e-05,0.00424849,0.005,0.001,366.667,0.5,7.33333,68.7089,7.44746,6875.39,0.18655,357,68.4018,-0.110664,0,0.005,0.001,"koff_TL","Pembro"
